id,name,numname,service_time_start,service_time_end,interval,type
1,万庄线,1号线,7:00:00,1:00:00,0:30:00,C
2,北京南站线,2号线,7:00:00,0:00:00,0:30:00,C
3,北京站线,3号线,7:00:00,0:00:00,0:30:00,C
4,公主坟线,4号线,6:00:00,2:00:00,0:30:00,C
5,中关村线,5号线,6:50:00,0:00:00,0:30:00,C
6,上地、奥运村线,6号线,7:40:00,21:40:00,0:30:00,C
7,北京西站线,7号线,6:00:00,0:00:00,0:30:00,C
8,回龙观线,8号线,8:30:00,20:30:00,0:30:00,C
9,通州线,9号线,7:00:00,0:00:00,0:30:00,C
10,王府井金宝街线,10号线,9:00:00,21:00:00,0:30:00,C
11,石景山线,16号线,7:30:00,22:00:00,0:30:00,C
12,燕郊线,17号线,7:40:00,23:00:00,0:30:00,C
13,昌平线,18号线,7:15:00,22:15:00,0:30:00,C
14,西单线-夜班车,夜班线,0:00:00,7:00:00,1:00:00,C
15,公主坟线-夜班车,夜班线,2:00:00,6:00:00,1:00:00,C
